"","ID","T3TOISA2","T3TOISA4","T3TOISA5","T3TOISA8","T3TOISA12","T3TOISA14","T3TOISA15","T3TOISA16","T3TOIspanx_O","T3TOIspanx_mi","T3TOIspanx"
"221",221,1,1,1,2,2,1,2,2,1.5,0,1.5
"222",222,5,1,1,2,4,1,3,4,2.625,0,2.625
"223",223,4,2,2,3,4,1,1,2,2.375,0,2.375
"224",224,5,2,1,5,1,1,2,5,2.75,0,2.75
"225",225,4,1,2,1,2,4,3,3,2.5,0,2.5
"226",226,5,4,5,5,1,1,5,5,3.875,0,3.875
"227",227,4,1,1,5,3,4,5,3,3.25,0,3.25
"228",228,3,5,5,4,4,4,4,2,3.875,0,3.875
"229",229,4,4,1,5,5,1,5,5,3.75,0,3.75
"230",230,4,3,2,3,3,1,3,2,2.625,0,2.625
"231",231,1,1,1,1,4,1,2,1,1.5,0,1.5
"232",232,5,1,1,4,5,1,3,1,2.625,0,2.625
"233",233,4,2,1,5,1,2,2,4,2.625,0,2.625
"234",234,1,1,3,1,5,4,4,1,2.5,0,2.5
"235",235,5,3,5,5,5,5,5,5,4.75,0,4.75
"236",236,1,1,1,1,1,1,1,5,1.5,0,1.5
"237",237,5,3,5,1,4,1,1,1,2.625,0,2.625
"238",238,2,2,1,5,1,1,5,3,2.5,0,2.5
"239",239,5,3,4,4,5,4,3,5,4.125,0,4.125
"240",240,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"241",241,3,1,3,4,1,1,5,3,2.625,0,2.625
"242",242,5,1,5,5,5,4,4,3,4,0,4
"243",243,5,1,5,5,3,4,5,4,4,0,4
"244",244,5,2,1,4,4,4,5,3,3.5,0,3.5
"245",245,1,1,1,1,1,1,1,1,1,0,1
"246",246,5,1,2,3,2,3,5,4,3.125,0,3.125
"247",247,5,1,1,1,1,1,1,1,1.5,0,1.5
"248",248,5,2,5,1,2,1,2,2,2.5,0,2.5
"249",249,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"250",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
